dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.0037,NA
2010-05-01,0.0052,NA
2010-05-09,0.0039,NA
2010-05-17,0.0176,NA
2010-05-25,0.0434,NA
2010-06-02,0.0357,NA
2010-06-10,0.0466,NA
2010-06-18,0.0315,NA
2010-06-26,0.019,NA
2010-07-04,0.0492,NA
2010-07-12,0.0083,NA
2010-07-20,0.0296,NA
2010-07-28,0.0406,NA
2010-08-05,0.021,NA
2010-08-13,0.0302,NA
2010-08-21,0.0024,NA
2010-08-29,0.0097,NA
2010-09-06,0.0083,NA
2010-09-14,0.0049,NA
2010-09-22,4e-04,NA
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0326,NA
2011-05-25,0.0476,NA
2011-06-02,0.0249,NA
2011-06-10,0.0268,NA
2011-06-18,0.0428,NA
2011-06-26,0.0401,NA
2011-07-04,0.0437,NA
2011-07-12,NA,NA
2011-07-20,0.0248,NA
2011-07-28,0.0476,NA
2011-08-05,0.0117,NA
2011-08-13,0.0186,NA
2011-08-21,0.0239,NA
2011-08-29,0.0145,NA
2011-09-06,0.0102,NA
2011-09-14,0.009,NA
2011-09-22,NA,NA
2011-09-30,9e-04,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,NA,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,1e-04,NA
2012-05-08,NA,NA
2012-05-16,0.0142,NA
2012-05-24,0.0249,NA
2012-06-01,0.0341,NA
2012-06-09,0.0369,NA
2012-06-17,0.0478,NA
2012-06-25,0.0185,NA
2012-07-03,0.0434,NA
2012-07-11,0.0072,NA
2012-07-19,0.0269,NA
2012-07-27,0.0337,NA
2012-08-04,0.0254,NA
2012-08-12,0.0252,NA
2012-08-20,0.0079,NA
2012-08-28,0.0112,NA
2012-09-05,0.0027,NA
2012-09-13,0.0059,NA
2012-09-21,0.0069,NA
2012-09-29,0.0016,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,NA
2013-03-14,0,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0321,NA
2013-06-02,0.0281,NA
2013-06-10,0.0338,NA
2013-06-18,0.0381,NA
2013-06-26,0.0575,NA
2013-07-04,0.0422,NA
2013-07-12,0.0436,NA
2013-07-20,0.039,NA
2013-07-28,0.0537,NA
2013-08-05,0.0558,NA
2013-08-13,0.0265,NA
2013-08-21,0.0147,NA
2013-08-29,0.0142,NA
2013-09-06,0.0095,NA
2013-09-14,0.0014,NA
2013-09-22,4e-04,NA
2013-09-30,0.001,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,NA
2014-03-14,0,NA
2014-03-22,0,NA
2014-03-30,0,NA
2014-04-07,NA,NA
2014-04-15,2e-04,NA
2014-04-23,8e-04,NA
2014-05-01,0.0066,NA
2014-05-09,0.0169,NA
2014-05-17,0.0078,NA
2014-05-25,0.0074,NA
2014-06-02,0.0368,NA
2014-06-10,0.0329,NA
2014-06-18,0.0481,NA
2014-06-26,0.0572,NA
2014-07-04,0.029,NA
2014-07-12,0.0487,NA
2014-07-20,0.0277,NA
2014-07-28,0.0339,NA
2014-08-05,0.0142,NA
2014-08-13,0.0227,NA
2014-08-21,0.0189,NA
2014-08-29,0.0098,NA
2014-09-06,0.0091,NA
2014-09-14,0.0075,NA
2014-09-22,0.0024,NA
2014-09-30,5e-04,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,NA
2015-03-14,0,NA
2015-03-22,0,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.001,NA
2015-05-09,0.0107,NA
2015-05-17,0.0472,NA
2015-05-25,0.0337,NA
2015-06-02,0.0232,NA
2015-06-10,0.0218,NA
2015-06-18,0.055,NA
2015-06-26,0.0422,NA
2015-07-04,0.0456,NA
2015-07-12,0.0415,NA
2015-07-20,0.0247,NA
2015-07-28,0.0136,NA
2015-08-05,0.0332,NA
2015-08-13,0.024,NA
2015-08-21,0.0096,NA
2015-08-29,0.0021,NA
2015-09-06,0.008,NA
2015-09-14,NA,NA
2015-09-22,2e-04,NA
2015-09-30,3e-04,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,1e-04,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.001,NA
2016-04-30,0.003,NA
2016-05-08,0.0266,NA
2016-05-16,0.0179,NA
2016-05-24,0.0175,NA
2016-06-01,0.0227,NA
2016-06-09,0.042,NA
2016-06-17,0.0352,NA
2016-06-25,0.0377,NA
2016-07-03,0.0364,NA
2016-07-11,NA,NA
2016-07-19,0.0336,NA
2016-07-27,0.0461,NA
2016-08-04,0.0162,NA
2016-08-12,0.0295,NA
2016-08-20,0.0104,NA
2016-08-28,0.0125,NA
2016-09-05,0.0082,NA
2016-09-13,0.0036,NA
2016-09-21,0.0061,NA
2016-09-29,5e-04,NA
2016-10-07,NA,NA
2016-10-15,NA,NA
