Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 20,Jun 06,Jul 14,Sep 01,Jun 23,Jul 28,Aug 13
2002, Cycle 1,Sep 19,May 26,Jul 04,Aug 25,Jun 13,Jul 18,Aug 03
2003, Cycle 1,Sep 16,May 23,Jul 03,Aug 25,Jun 13,Jul 18,Aug 03
2004, Cycle 1,Sep 27,May 17,Jul 03,Sep 01,Jun 13,Jul 19,Aug 06
2005, Cycle 1,Sep 28,Apr 16,Jul 02,Aug 31,Jun 08,Jul 20,Aug 08
2006, Cycle 1,Oct 07,May 02,Jul 04,Sep 04,Jun 11,Jul 23,Aug 11
2007, Cycle 1,Sep 26,Apr 28,Jul 02,Sep 04,Jun 09,Jul 17,Aug 06
2008, Cycle 1,Sep 20,May 19,Jun 27,Aug 25,Jun 07,Jul 12,Aug 01
2009, Cycle 1,Sep 26,May 19,Jun 28,Sep 02,Jun 09,Jul 13,Aug 04
2010, Cycle 1,Sep 28,May 01,Jun 23,Sep 03,May 28,Jul 15,Aug 09
2011, Cycle 1,Sep 26,May 09,Jul 05,Sep 05,Jun 10,Jul 23,Aug 11
2012, Cycle 1,Oct 01,May 18,Jun 27,Aug 31,Jun 06,Jul 15,Aug 03
2013, Cycle 1,Oct 03,May 17,Jul 05,Sep 05,Jun 13,Jul 22,Aug 10
2014, Cycle 1,Sep 24,May 17,Jun 30,Aug 30,Jun 08,Jul 16,Aug 03
2015, Cycle 1,Sep 29,May 09,Jun 21,Aug 30,May 28,Jul 08,Jul 28
2016, Cycle 1,Oct 12,Apr 24,Jun 28,Sep 01,Jun 01,Jul 15,Aug 03
2017, Cycle 1,Oct 01,Apr 23,Jun 28,Sep 04,Jun 03,Jul 17,Aug 08
2018, Cycle 1,Sep 26,Apr 28,Jun 30,Aug 27,Jun 07,Jul 14,Jul 30
2019, Cycle 1,Sep 19,May 13,Jun 22,Aug 25,May 31,Jul 12,Aug 02
2003, Cycle 2,Oct 07,Jun 04,Jul 07,Sep 04,Jun 19,Jul 21,Aug 07
2010, Cycle 2,Sep 21,May 09,Jun 24,Sep 01,Jun 01,Jul 15,Aug 11
2012, Cycle 2,Oct 07,May 28,Jun 30,Sep 01,Jun 12,Jul 20,Aug 08
2013, Cycle 2,Sep 30,May 29,Jul 09,Sep 03,Jun 16,Jul 25,Aug 12
2019, Cycle 2,Oct 01,May 12,Jun 26,Sep 09,May 28,Jul 22,Aug 13
