date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,8,4.73
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,11,6.51
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,10,5.92
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,7,4.14
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0004,0.0000,0.0001,0.0000,0.0000,169,4,2.37
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0007,0.0084,0.0000,0.0007,0.0000,0.0000,169,12,7.10
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0016,0.0095,0.6856,0.0079,0.0041,0.0000,0.0015,169,169,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0029,0.0063,0.7163,0.0034,0.0042,0.0000,0.0008,169,169,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0038,0.0075,0.9013,0.0037,0.0053,0.0000,0.0010,169,169,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0092,0.0217,2.3219,0.0125,0.0137,0.0000,0.0027,169,169,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0207,0.0466,5.2622,0.0259,0.0311,0.0000,0.0058,169,169,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0219,0.0442,5.1532,0.0223,0.0305,0.0000,0.0044,169,169,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0278,0.0612,6.8667,0.0334,0.0406,0.0000,0.0064,169,169,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0262,0.0577,6.1245,0.0315,0.0362,0.0000,0.0052,169,169,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0196,0.0562,5.8708,0.0366,0.0349,0.0001,0.0099,169,168,99.41
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0248,0.0579,6.3898,0.0331,0.0378,0.0000,0.0058,169,169,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0113,0.0402,3.7651,0.0289,0.0228,0.0000,0.0050,169,165,97.63
